City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Husavik,66.0449,-17.3389,24.71,81,99,7.16,IS,2022-04-07 02:04:31
1,Acarau,-2.8856,-40.12,77.38,85,92,7.31,BR,2022-04-07 02:04:32
2,Korgen,66.0771,13.8153,31.17,85,100,3.69,NO,2022-04-07 02:04:32
3,Copiapo,-27.3667,-70.3333,74.39,23,0,1.72,CL,2022-04-07 02:04:33
4,Avarua,-21.2078,-159.775,84.25,74,20,13.8,CK,2022-04-07 02:04:33
5,Nuuk,64.1835,-51.7216,24.04,93,100,9.93,GL,2022-04-07 02:00:16
6,Leshukonskoye,64.8989,45.7622,29.41,98,100,6.6,RU,2022-04-07 02:04:34
7,Deshnok,27.7986,73.3447,81.84,8,0,11.34,IN,2022-04-07 02:04:34
8,Ballina,-28.8667,153.5667,74.01,92,20,11.81,AU,2022-04-07 02:04:34
9,Kodiak,57.79,-152.4072,36.91,87,75,4.61,US,2022-04-07 02:04:35
10,Vaini,-21.2,-175.2,81.21,75,100,12.21,TO,2022-04-07 02:04:35
11,Airai,-8.9266,125.4092,74.86,51,64,2.55,TL,2022-04-07 02:04:36
12,Hilo,19.7297,-155.09,71.33,92,100,9.22,US,2022-04-07 01:59:31
13,Lima,-12.0432,-77.0282,72.9,72,40,11.5,PE,2022-04-07 02:04:36
14,Busselton,-33.65,115.3333,73.4,44,41,9.44,AU,2022-04-07 02:04:07
15,Atuona,-9.8,-139.0333,79.36,75,16,16.71,PF,2022-04-07 01:57:01
16,Azare,11.6765,10.1948,81.82,12,18,5.99,NG,2022-04-07 02:04:37
17,La Ronge,55.1001,-105.2842,30.96,85,99,4.72,CA,2022-04-07 02:04:37
18,Kargasok,59.0556,80.8572,29.98,80,100,15.48,RU,2022-04-07 02:04:38
19,Bluff,-46.6,168.3333,53.44,58,83,12.03,NZ,2022-04-07 02:04:38
20,Ligayan,4.6533,119.4706,81.23,76,100,7.99,PH,2022-04-07 02:04:39
21,Yellowknife,62.456,-114.3525,34.32,60,20,5.75,CA,2022-04-07 02:00:00
22,Punta Arenas,-53.15,-70.9167,41.11,65,11,3.11,CL,2022-04-07 02:00:46
23,Ribeira Grande,38.5167,-28.7,61.86,90,100,26.73,PT,2022-04-07 02:04:39
24,Voi,-3.3945,38.563,71.47,91,69,2.42,KE,2022-04-07 02:04:40
25,Torbay,47.6666,-52.7314,35.76,91,100,18.41,CA,2022-04-07 02:00:40
26,Rawson,-43.3002,-65.1023,56.53,77,88,17.54,AR,2022-04-07 02:00:58
27,Butaritari,3.0707,172.7902,81.57,76,62,18.81,KI,2022-04-07 02:00:29
28,Itoman,26.1247,127.6694,72.37,54,20,11.5,JP,2022-04-07 02:04:40
29,Sao Joao Da Barra,-21.6403,-41.0511,75.56,84,100,6.4,BR,2022-04-07 02:04:20
30,Maracacume,-2.0428,-45.9592,73.4,99,94,2.77,BR,2022-04-07 02:04:41
31,Moree,-29.4667,149.85,68.02,83,100,8.05,AU,2022-04-07 02:04:41
32,Alofi,-19.0595,-169.9187,80.94,77,98,15.41,NU,2022-04-07 02:04:42
33,Pevek,69.7008,170.3133,-5.15,91,100,7.56,RU,2022-04-07 02:04:42
34,Saint George,37.1041,-113.5841,66.43,9,0,21.85,US,2022-04-07 02:00:31
35,Mehamn,71.0357,27.8492,31.39,87,100,22.39,NO,2022-04-07 02:02:49
36,Pemberton,50.3164,-122.8027,44.96,82,100,3.53,CA,2022-04-07 02:00:39
37,Bella Vista,36.4295,-94.2316,58.1,32,20,11.5,US,2022-04-07 02:00:28
38,Aksarka,66.5606,67.7975,14.68,90,100,6.2,RU,2022-04-07 02:04:43
39,Maceio,-9.6658,-35.7353,72.84,88,0,3.44,BR,2022-04-07 02:04:44
40,Cramlington,55.0865,-1.586,42.62,94,75,4.61,GB,2022-04-07 02:04:44
41,Mar Del Plata,-38.0023,-57.5575,68.09,87,46,1.99,AR,2022-04-07 02:03:53
42,Thompson,55.7435,-97.8558,32.16,93,100,10.36,CA,2022-04-07 02:01:48
43,Kavaratti,10.5669,72.642,82.8,72,37,7.38,IN,2022-04-07 02:04:45
44,Mahebourg,-20.4081,57.7,74.25,70,98,12.01,MU,2022-04-07 02:01:08
45,Ushuaia,-54.8,-68.3,33.37,92,34,2.19,AR,2022-04-07 02:01:41
46,Port Elizabeth,-33.918,25.5701,56.32,80,49,7.0,ZA,2022-04-07 02:01:14
47,Shitanjing,39.2342,106.3439,58.53,14,10,6.67,CN,2022-04-07 02:04:46
48,Bredasdorp,-34.5322,20.0403,56.98,67,91,6.17,ZA,2022-04-07 02:01:36
49,Kapaa,22.0752,-159.319,80.58,77,20,17.27,US,2022-04-07 02:05:46
50,Bambanglipuro,-7.95,110.2833,81.97,75,100,4.29,ID,2022-04-07 02:05:47
51,Klaksvik,62.2266,-6.589,34.72,77,100,42.39,FO,2022-04-07 02:05:47
52,Kanniyakumari,8.0833,77.5667,82.18,75,47,5.57,IN,2022-04-07 02:05:47
53,Oia,40.5426,-8.5386,56.12,81,100,1.63,PT,2022-04-07 02:05:48
54,De Aar,-30.6497,24.0123,48.9,63,36,5.88,ZA,2022-04-07 02:05:48
55,Dikson,73.5069,80.5464,-0.99,99,100,14.47,RU,2022-04-07 02:02:50
56,Poso,-1.3959,120.7524,86.72,59,19,3.27,ID,2022-04-07 02:05:49
57,Nova Russas,-4.7067,-40.5631,71.29,96,100,2.37,BR,2022-04-07 02:05:49
58,Port Lincoln,-34.7333,135.8667,64.02,62,7,14.09,AU,2022-04-07 02:04:27
59,Qaanaaq,77.484,-69.3632,1.13,93,95,6.11,GL,2022-04-07 02:01:47
60,Jamestown,42.097,-79.2353,54.01,74,100,8.05,US,2022-04-07 01:59:59
61,Rikitea,-23.1203,-134.9692,78.6,66,0,11.5,PF,2022-04-07 02:01:46
62,Gilbues,-9.8317,-45.3439,75.02,63,17,2.64,BR,2022-04-07 02:05:50
63,Los Llanos De Aridane,28.6585,-17.9182,56.95,75,100,10.36,ES,2022-04-07 02:05:51
64,Price,39.5994,-110.8107,48.11,18,0,10.36,US,2022-04-07 02:05:51
65,Mogadishu,2.0371,45.3438,80.29,76,36,13.18,SO,2022-04-07 02:05:51
66,Tuatapere,-46.1333,167.6833,54.97,52,41,6.02,NZ,2022-04-07 02:05:52
67,Hobart,-42.8794,147.3294,67.01,50,20,5.75,AU,2022-04-07 02:05:52
68,Leh,34.1667,77.5833,28.26,54,0,4.25,IN,2022-04-07 02:04:02
69,Sitka,57.0531,-135.33,38.21,83,100,16.31,US,2022-04-07 02:02:26
70,Puerto Ayora,-0.7393,-90.3518,77.85,88,87,6.69,EC,2022-04-07 02:05:53
71,Sobolevo,54.4299,31.8996,35.6,98,100,13.18,RU,2022-04-07 02:05:53
72,Qaqortoq,60.7167,-46.0333,28.11,94,100,1.9,GL,2022-04-07 02:05:54
73,Omboue,-1.5746,9.2618,77.7,91,100,8.3,GA,2022-04-07 02:05:54
74,East London,-33.0153,27.9116,60.71,63,8,20.8,ZA,2022-04-07 02:05:55
75,Albany,42.6001,-73.9662,50.68,73,100,1.01,US,2022-04-07 02:00:40
76,Georgetown,5.4112,100.3354,82.33,78,20,4.61,MY,2022-04-07 02:01:29
77,Upernavik,72.7868,-56.1549,-8.09,100,94,6.87,GL,2022-04-07 02:05:55
78,Niksar,40.5917,36.9517,49.77,86,97,2.46,TR,2022-04-07 02:05:56
79,Mataura,-46.1927,168.8643,55.94,43,47,4.7,NZ,2022-04-07 02:05:56
80,Kavieng,-2.5744,150.7967,81.64,78,100,5.14,PG,2022-04-07 02:02:59
81,Leningradskiy,69.3833,178.4167,-1.16,86,100,21.3,RU,2022-04-07 02:05:57
82,Kazachinskoye,57.6953,93.2761,35.78,87,100,12.57,RU,2022-04-07 02:05:57
83,Port Alfred,-33.5906,26.891,57.18,73,52,8.01,ZA,2022-04-07 02:05:58
84,Hermanus,-34.4187,19.2345,51.8,65,93,8.34,ZA,2022-04-07 02:05:58
85,Vanimo,-2.6741,141.3028,85.87,67,98,5.64,PG,2022-04-07 02:05:59
86,Lorengau,-2.0226,147.2712,81.0,84,100,10.94,PG,2022-04-07 02:05:59
87,New Norfolk,-42.7826,147.0587,66.65,34,0,1.74,AU,2022-04-07 02:05:59
88,Victoria,22.2855,114.1577,77.97,64,46,4.0,HK,2022-04-07 02:05:01
89,Batemans Bay,-35.7167,150.1833,63.1,92,100,9.01,AU,2022-04-07 02:06:00
90,San Patricio,28.017,-97.5169,76.91,35,0,20.31,US,2022-04-07 02:06:00
91,Chuy,-33.6971,-53.4616,60.06,82,0,7.65,UY,2022-04-07 02:06:01
92,Agucadoura,41.4318,-8.7804,54.25,84,99,4.43,PT,2022-04-07 02:06:01
93,Chokurdakh,70.6333,147.9167,-1.17,82,2,5.19,RU,2022-04-07 02:02:56
94,Lalibela,12.0333,39.0333,58.53,31,0,7.0,ET,2022-04-07 02:06:02
95,Birjand,32.8663,59.2211,57.67,15,0,6.91,IR,2022-04-07 02:06:02
96,Quesnel,52.9999,-122.5029,42.85,53,100,12.19,CA,2022-04-07 02:07:03
97,Atagay,55.1033,99.3875,45.19,81,100,12.66,RU,2022-04-07 02:07:03
98,Barrow,71.2906,-156.7887,-4.54,91,100,12.71,US,2022-04-07 01:59:24
99,Luderitz,-26.6481,15.1594,61.63,64,100,19.86,NA,2022-04-07 02:07:04
100,Along,28.1667,94.7667,71.58,86,91,0.54,IN,2022-04-07 02:07:05
101,Longyearbyen,78.2186,15.6401,10.24,67,0,9.22,SJ,2022-04-07 02:00:28
102,Bethel,41.3712,-73.414,48.56,90,100,5.75,US,2022-04-07 02:03:49
103,Marawi,7.9986,124.2928,74.86,86,98,3.24,PH,2022-04-07 02:07:05
104,Severo-Kurilsk,50.6789,156.125,35.46,93,100,14.9,RU,2022-04-07 02:07:06
105,Banda Aceh,5.5577,95.3222,81.64,70,88,4.38,ID,2022-04-07 02:07:06
106,Kibala,9.1104,18.3463,81.75,54,37,7.85,TD,2022-04-07 02:07:07
107,Ponta Do Sol,32.6667,-17.1,61.0,74,35,2.51,PT,2022-04-07 02:07:07
108,Excelsior Springs,39.3392,-94.2261,46.71,57,40,10.36,US,2022-04-07 02:06:50
109,Morant Bay,17.8815,-76.4093,78.71,84,62,8.55,JM,2022-04-07 02:07:08
110,Kaitangata,-46.2817,169.8464,54.82,49,76,5.77,NZ,2022-04-07 02:01:35
111,Chara,56.9064,118.2631,8.04,73,100,0.36,RU,2022-04-07 02:07:09
112,Dawei,14.0833,98.2,89.56,47,95,1.41,MM,2022-04-07 02:07:10
113,Sioux Lookout,50.1001,-91.917,32.27,97,100,15.19,CA,2022-04-07 02:07:11
114,Meadow Lake,34.8014,-106.5436,56.32,8,0,19.13,US,2022-04-07 02:02:28
115,Batagay,67.6333,134.6333,7.86,83,100,0.27,RU,2022-04-07 02:07:11
116,Riohacha,11.5444,-72.9072,80.15,73,84,14.61,CO,2022-04-07 02:07:12
117,Coahuayana,18.7333,-103.6833,69.91,88,100,2.98,MX,2022-04-07 02:07:13
118,Ullapool,57.8987,-5.1604,36.36,92,100,24.63,GB,2022-04-07 02:07:13
119,Santa Lucia,27.9117,-15.5407,52.92,51,20,12.66,ES,2022-04-07 02:05:40
120,Znin,52.8496,17.7199,48.04,82,100,12.93,PL,2022-04-07 02:07:14
121,Estelle,29.8458,-90.1067,79.0,72,0,5.75,US,2022-04-07 02:07:14
122,Hualmay,-11.0964,-77.6139,69.48,85,48,8.14,PE,2022-04-07 02:07:15
123,Zhezkazgan,47.8043,67.7144,39.18,81,75,15.66,KZ,2022-04-07 02:07:15
124,Cape Town,-33.9258,18.4232,55.11,81,78,10.04,ZA,2022-04-07 02:05:37
125,Kudat,6.8837,116.8477,81.55,78,89,11.79,MY,2022-04-07 02:07:15
126,Hearst,49.6835,-83.6665,36.91,85,100,16.33,CA,2022-04-07 02:05:01
127,Fort Nelson,58.8053,-122.7002,35.49,89,100,4.59,CA,2022-04-07 02:07:12
128,Vila Franca Do Campo,37.7167,-25.4333,61.21,89,100,16.71,PT,2022-04-07 02:07:16
129,Sorland,67.667,12.6934,36.66,62,100,14.27,NO,2022-04-07 02:07:17
130,San Cristobal,7.7669,-72.225,73.58,95,28,2.37,VE,2022-04-07 02:07:17
131,Tiksi,71.6872,128.8694,-6.99,99,100,6.55,RU,2022-04-07 02:02:54
132,Lasa,46.6166,10.7002,44.69,94,95,3.96,IT,2022-04-07 02:07:18
133,Lincoln,40.8,-96.667,47.28,44,98,8.01,US,2022-04-07 02:04:35
134,Wilmington,34.2257,-77.9447,70.99,88,20,4.61,US,2022-04-07 02:07:00
135,Saint-Philippe,-21.3585,55.7679,76.59,78,60,11.03,RE,2022-04-07 02:01:44
136,Sinjar,36.3209,41.8754,60.19,44,10,14.34,IQ,2022-04-07 02:07:19
137,Arraial Do Cabo,-22.9661,-42.0278,75.36,84,19,8.14,BR,2022-04-07 02:02:52
138,Namatanai,-3.6667,152.4333,79.36,82,100,9.31,PG,2022-04-07 02:07:20
139,Tasiilaq,65.6145,-37.6368,28.56,92,97,4.76,GL,2022-04-07 02:07:20
140,Jibuti,11.5,42.5,70.29,83,22,11.63,DJ,2022-04-07 02:08:21
141,Komsomolskiy,40.4272,71.7189,59.72,51,90,9.22,UZ,2022-04-07 02:08:21
142,Lompoc,34.6391,-120.4579,86.14,40,0,3.0,US,2022-04-07 01:58:36
143,Carnarvon,-24.8667,113.6333,86.07,62,6,10.36,AU,2022-04-07 02:08:22
144,Turukhansk,65.8167,87.9833,22.53,90,100,11.61,RU,2022-04-07 02:08:22
145,Sao Bento Do Sul,-26.2503,-49.3786,64.24,97,100,2.57,BR,2022-04-07 02:07:29
146,Saint-Georges,12.0564,-61.7485,77.54,83,43,14.81,GD,2022-04-07 02:08:23
147,Tahta,26.7693,31.5021,79.16,15,34,3.27,EG,2022-04-07 02:08:23
148,Kabansk,52.0486,106.6528,44.82,85,87,0.56,RU,2022-04-07 02:08:24
149,Ayagoz,47.9714,80.4392,47.21,86,100,13.85,KZ,2022-04-07 02:08:24
150,Norman Wells,65.282,-126.8329,31.46,92,6,5.26,CA,2022-04-07 02:03:05
151,Megion,61.0296,76.1136,26.62,81,88,17.96,RU,2022-04-07 02:08:25
152,Hasaki,35.7333,140.8333,61.29,77,100,19.13,JP,2022-04-07 02:08:25
153,Esperance,-33.8667,121.9,70.47,59,3,11.27,AU,2022-04-07 02:08:25
154,Hithadhoo,-0.6,73.0833,82.0,66,0,1.16,MV,2022-04-07 02:08:26
155,Bayan,46.0833,127.4,38.75,20,0,14.99,CN,2022-04-07 02:08:26
156,Faanui,-16.4833,-151.75,82.8,74,51,22.28,PF,2022-04-07 02:02:57
157,Irbil,36.1926,44.0106,75.02,17,100,25.32,IQ,2022-04-07 02:05:01
158,Khatanga,71.9667,102.5,15.35,82,100,17.0,RU,2022-04-07 02:01:38
159,Ahipara,-35.1667,173.1667,68.68,56,25,14.65,NZ,2022-04-07 02:08:27
160,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.8,97,100,2.64,BR,2022-04-07 02:08:27
161,Flinders,-34.5833,150.8552,66.38,90,100,5.01,AU,2022-04-07 02:04:37
162,Svetlogorsk,52.6333,29.7333,42.76,94,100,9.26,BY,2022-04-07 02:08:28
163,Sinnamary,5.3833,-52.95,77.32,87,97,11.45,GF,2022-04-07 02:08:28
164,Yertarskiy,56.7902,64.2995,31.71,88,100,7.99,RU,2022-04-07 02:08:29
165,Aldan,58.6031,125.3894,13.03,81,100,4.07,RU,2022-04-07 02:08:29
166,Paita,-5.0892,-81.1144,71.78,79,56,18.92,PE,2022-04-07 02:08:29
167,Teahupoo,-17.8333,-149.2667,84.16,73,55,20.92,PF,2022-04-07 02:08:30
168,Maxixe,-23.8597,35.3472,71.89,87,0,7.16,MZ,2022-04-07 02:08:30
169,Coquimbo,-29.9533,-71.3436,56.93,94,100,3.44,CL,2022-04-07 02:08:31
170,Hailar,49.2,119.7,32.38,27,12,10.74,CN,2022-04-07 02:08:31
171,Nioro,13.35,-15.75,80.13,28,96,10.96,GM,2022-04-07 02:08:32
172,Trapani,37.8333,12.6667,57.27,88,97,21.25,IT,2022-04-07 02:08:32
173,Yalutorovsk,56.6536,66.3006,25.72,92,94,7.74,RU,2022-04-07 02:08:32
174,Codrington,-38.2667,141.9667,69.57,55,46,14.2,AU,2022-04-07 02:08:33
175,Shellbrook,53.2168,-106.4011,33.26,98,100,6.82,CA,2022-04-07 02:08:33
176,Point Fortin,10.1833,-61.6833,76.86,81,6,13.11,TT,2022-04-07 02:08:34
177,Midyat,37.4247,41.3393,53.53,61,60,10.78,TR,2022-04-07 02:08:34
178,Nikolskoye,59.7035,30.7861,30.87,89,100,6.06,RU,2022-04-07 02:02:55
179,Jijiga,9.35,42.8,61.99,41,0,3.27,ET,2022-04-07 02:08:35
180,Denizli,37.8402,29.0698,56.95,64,91,2.64,TR,2022-04-07 02:08:35
181,Matara,5.9485,80.5353,76.69,82,87,5.75,LK,2022-04-07 02:08:36
182,Raga,8.4596,25.678,78.71,57,91,9.64,SS,2022-04-07 02:08:36
183,Bontang,0.1333,117.5,79.93,84,100,12.86,ID,2022-04-07 02:08:36
184,Channel-Port Aux Basques,47.5702,-59.1367,32.43,95,66,12.3,CA,2022-04-07 02:08:37
185,Broken Hill,-31.95,141.4333,71.28,41,0,12.91,AU,2022-04-07 02:08:37
186,York,40.1254,-77.0,54.14,85,100,11.16,US,2022-04-07 02:05:17
187,Port Hardy,50.6996,-127.4199,41.49,89,100,22.75,CA,2022-04-07 02:07:12
188,Dalby,-27.1833,151.2667,74.37,55,79,15.64,AU,2022-04-07 02:09:38
189,Sackville,45.9188,-64.3846,28.85,85,9,3.22,CA,2022-04-07 02:07:12
190,Puerto Escondido,15.85,-97.0667,79.63,73,0,0.0,MX,2022-04-07 02:09:39
191,Bathsheba,13.2167,-59.5167,77.61,73,40,17.27,BB,2022-04-07 02:09:39
192,Progreso,21.2833,-89.6667,86.11,86,4,10.16,MX,2022-04-07 02:09:40
193,Raymondville,26.4815,-97.7831,77.11,40,0,18.57,US,2022-04-07 02:09:40
194,Saint-Pierre,-21.3393,55.4781,76.68,83,75,13.8,RE,2022-04-07 02:09:40
195,Dwarka,22.2394,68.9678,79.23,75,54,11.18,IN,2022-04-07 02:09:41
196,Polovinnoye,54.7914,65.9864,33.17,85,79,10.47,RU,2022-04-07 02:09:41
197,Namibe,-15.1961,12.1522,71.53,75,0,4.99,AO,2022-04-07 02:09:42
198,Provideniya,64.3833,-173.3,0.36,71,0,18.01,RU,2022-04-07 02:09:42
199,Eucaliptus,-17.5833,-67.5167,50.09,66,7,7.16,BO,2022-04-07 02:09:42
200,Anadyr,64.75,177.4833,3.7,71,0,15.66,RU,2022-04-07 02:09:43
201,Mackay,-21.15,149.2,85.68,66,13,14.72,AU,2022-04-07 02:09:43
202,Walvis Bay,-22.9575,14.5053,60.98,80,77,8.3,NA,2022-04-07 02:09:44
203,Natchitoches,31.7668,-93.1335,59.85,82,0,0.0,US,2022-04-07 02:09:44
204,Portel,-1.9356,-50.8211,73.87,97,100,3.98,BR,2022-04-07 02:09:45
205,Hazorasp,41.3194,61.0742,48.04,44,1,6.85,UZ,2022-04-07 02:09:45
206,Dingle,10.9995,122.6711,79.63,83,100,10.67,PH,2022-04-07 02:09:45
207,Kalabo,-14.97,22.6814,65.61,92,61,5.14,ZM,2022-04-07 02:09:46
208,Bambous Virieux,-20.3428,57.7575,74.21,69,99,11.97,MU,2022-04-07 02:09:46
209,Montepuez,-13.1256,38.9997,67.86,98,20,2.57,MZ,2022-04-07 02:09:46
210,Inhambane,-23.865,35.3833,73.4,84,0,8.41,MZ,2022-04-07 02:09:47
211,Salalah,17.0151,54.0924,74.14,65,0,1.61,OM,2022-04-07 02:03:04
212,Northfield,44.4583,-93.1616,38.21,86,100,23.02,US,2022-04-07 02:09:47
213,The Valley,18.217,-63.0578,78.66,78,20,13.8,AI,2022-04-07 02:09:48
214,Fortuna,40.5982,-124.1573,58.91,72,0,11.5,US,2022-04-07 02:09:48
215,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,86,100,2.24,RU,2022-04-07 02:09:48
216,Honiara,-9.4333,159.95,83.82,75,100,9.86,SB,2022-04-07 02:09:49
217,Grindavik,63.8424,-22.4338,27.07,68,20,13.8,IS,2022-04-07 02:09:49
218,Port Hedland,-20.3167,118.5667,95.05,26,7,13.8,AU,2022-04-07 02:09:50
219,Galveston,29.3669,-94.9669,74.97,48,0,10.0,US,2022-04-07 02:09:50
220,Alice Springs,-23.7,133.8833,78.35,25,0,12.66,AU,2022-04-07 02:09:50
221,Pontian Kecil,1.4801,103.3899,78.89,85,100,6.6,MY,2022-04-07 02:09:51
222,Rolla,37.9514,-91.7713,55.54,33,100,12.66,US,2022-04-07 02:07:59
223,Saskylakh,71.9167,114.0833,-5.71,95,39,6.08,RU,2022-04-07 02:09:44
224,Narsaq,60.9167,-46.05,32.22,91,100,1.57,GL,2022-04-07 02:02:49
225,Taltal,-25.4,-70.4833,72.72,48,0,4.16,CL,2022-04-07 02:09:52
226,Kalmunai,7.4167,81.8167,79.75,79,81,5.86,LK,2022-04-07 02:09:52
227,Castro,-24.7911,-50.0119,62.6,97,55,3.6,BR,2022-04-07 02:09:19
228,Lavrentiya,65.5833,-171.0,-2.49,67,100,7.81,RU,2022-04-07 02:09:53
229,Acari,-15.4311,-74.6158,72.79,76,64,2.95,PE,2022-04-07 02:09:53
230,Kununurra,-15.7667,128.7333,91.38,62,11,5.75,AU,2022-04-07 02:09:54
231,Carutapera,-1.195,-46.02,75.52,94,99,4.63,BR,2022-04-07 02:10:54
232,Kyzyl-Suu,42.3414,78.0056,51.42,35,17,5.26,KG,2022-04-07 02:10:55
233,Hami,42.8,93.45,69.98,11,1,2.71,CN,2022-04-07 02:10:55
234,Souillac,-20.5167,57.5167,76.19,73,96,11.77,MU,2022-04-07 02:10:55
235,Tungao,8.7772,125.5719,85.41,68,91,3.44,PH,2022-04-07 02:10:56
236,La Rioja,42.25,-2.5,33.58,75,81,5.59,ES,2022-04-07 02:06:38
237,Starokozache,46.3372,29.9853,44.92,81,0,13.58,UA,2022-04-07 02:10:56
238,Ulladulla,-35.35,150.4667,63.77,88,100,10.0,AU,2022-04-07 02:10:57
239,Ardabil,38.2498,48.2933,40.46,81,100,8.16,IR,2022-04-07 02:10:57
240,Jacareacanga,-6.2222,-57.7528,73.45,96,49,1.61,BR,2022-04-07 02:10:57
241,Moerai,-22.4333,-151.3333,82.36,66,100,12.64,PF,2022-04-07 02:10:58
242,Namtsy,62.7161,129.6658,14.2,84,100,5.73,RU,2022-04-07 02:10:58
243,Onega,63.9061,38.1404,12.13,96,22,3.62,RU,2022-04-07 02:10:59
244,Tautira,-17.7333,-149.15,82.2,73,72,20.45,PF,2022-04-07 02:10:59
245,Barao De Melgaco,-16.1944,-55.9675,76.98,68,24,1.81,BR,2022-04-07 02:10:59
246,Isangel,-19.55,169.2667,78.96,88,100,18.23,VU,2022-04-07 02:03:06
247,Zonguldak,41.25,31.8333,41.95,83,0,4.27,TR,2022-04-07 02:11:00
248,Lebu,-37.6167,-73.65,55.83,92,100,4.03,CL,2022-04-07 02:03:05
249,Luena,-11.7833,19.9167,61.25,96,32,2.68,AO,2022-04-07 02:11:00
250,Darhan,49.4867,105.9228,54.66,34,11,6.71,MN,2022-04-07 02:10:45
251,Tuktoyaktuk,69.4541,-133.0374,16.07,94,49,7.4,CA,2022-04-07 02:11:01
252,Plouzane,48.3833,-4.6167,52.12,96,100,25.32,FR,2022-04-07 02:11:01
253,Paris,48.8534,2.3488,52.57,84,100,16.11,FR,2022-04-07 02:09:18
254,Gari,59.4307,62.3497,27.19,93,81,7.09,RU,2022-04-07 02:11:02
255,Vila Velha,-20.3297,-40.2925,78.75,84,75,6.91,BR,2022-04-07 02:11:02
256,Miandoab,36.9694,46.1027,59.38,33,100,6.51,IR,2022-04-07 02:11:03
257,Bhatkal,13.9667,74.5667,81.0,80,15,2.93,IN,2022-04-07 02:11:03
258,Nueve De Julio,-35.4444,-60.8831,66.4,53,0,5.86,AR,2022-04-07 02:10:10
259,Kozmodemyansk,56.3367,46.5711,24.49,96,10,10.54,RU,2022-04-07 02:11:04
260,Kutum,14.2,24.6667,74.77,14,6,9.64,SD,2022-04-07 02:11:04
261,Sosnogorsk,63.6023,53.8817,25.54,94,100,8.14,RU,2022-04-07 02:11:05
262,Quatre Cocos,-20.2078,57.7625,74.08,70,97,12.3,MU,2022-04-07 02:11:05
263,Imeni Poliny Osipenko,52.4201,136.4853,27.54,57,31,4.59,RU,2022-04-07 02:11:06
264,Sandwick,60.0,-1.25,39.02,60,75,25.32,GB,2022-04-07 02:11:06
265,Mangai,-4.05,19.5333,71.47,88,100,0.25,CD,2022-04-07 02:11:06
266,Alyangula,-13.8483,136.4192,89.19,45,35,7.65,AU,2022-04-07 02:11:07
267,Sao Joao Evangelista,-18.5478,-42.7633,66.85,79,97,1.86,BR,2022-04-07 02:11:07
268,Horconcitos,8.4682,-81.8007,69.8,87,59,4.63,PA,2022-04-07 02:11:08
269,Rundu,-17.9333,19.7667,71.53,47,83,4.74,NA,2022-04-07 02:11:09
270,Liberal,37.0431,-100.921,51.04,23,100,23.02,US,2022-04-07 02:11:09
271,Ternate,0.8,127.4,83.66,74,100,8.48,ID,2022-04-07 02:11:10
272,Paamiut,61.994,-49.6678,28.04,97,92,7.18,GL,2022-04-07 02:11:10
273,Kizukuri,40.8061,140.3861,46.42,41,47,2.42,JP,2022-04-07 02:11:11
274,Cabo Rojo,18.0866,-67.1457,76.68,84,10,5.99,PR,2022-04-07 02:11:11
275,Vostok,46.4856,135.8833,30.04,52,78,13.67,RU,2022-04-07 02:11:11
276,Saldanha,-33.0117,17.9442,59.63,63,100,17.56,ZA,2022-04-07 02:11:12
277,Port-Gentil,-0.7193,8.7815,80.6,84,100,14.5,GA,2022-04-07 02:11:12
278,Karratha,-20.7377,116.8463,93.74,35,11,10.76,AU,2022-04-07 02:12:13
